Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,ngs_approach,genotype,antibody,treatment,lentivirus,experimental_condition,chip_antibody
SRR14513770,RNA-Seq,75,4459640475,PRJNA729512,SAMN19131470,1984887318,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859438,GSM5292726,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T16:48:00Z,1,GSM5292726,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
SRR14513771,RNA-Seq,75,4304300400,PRJNA729512,SAMN19131469,1883218570,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859439,GSM5292727,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T15:58:00Z,1,GSM5292727,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
SRR14513772,RNA-Seq,75,1096550625,PRJNA729512,SAMN19131468,497087045,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859440,GSM5292728,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-14T16:38:00Z,1,GSM5292728,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
SRR14513773,RNA-Seq,75,1287737925,PRJNA729512,SAMN19131467,572419369,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859441,GSM5292729,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-14T16:43:00Z,1,GSM5292729,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
SRR14513774,RNA-Seq,75,1338907125,PRJNA729512,SAMN19131466,591211534,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859442,GSM5292730,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-14T16:53:00Z,1,GSM5292730,cancer cell line,SRP319533,RNA-seq,SMARCE1 null,,,,,
SRR14513775,RNA-Seq,75,1393264875,PRJNA729512,SAMN19131465,615492401,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859443,GSM5292731,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-14T16:50:00Z,1,GSM5292731,cancer cell line,SRP319533,RNA-seq,SMARCE1 null,,,,,
SRR14513776,RNA-Seq,75,4229150475,PRJNA729512,SAMN19131464,1854288604,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859444,GSM5292732,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T15:46:00Z,1,GSM5292732,cancer cell line,SRP319533,RNA-seq,SMARCE1 null,,,,,
SRR14513777,RNA-Seq,75,4561561200,PRJNA729512,SAMN19131463,1998818859,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859445,GSM5292733,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T16:52:00Z,1,GSM5292733,cancer cell line,SRP319533,RNA-seq,SMARCE1 null,,,,,
SRR14513778,RNA-Seq,75,4725463500,PRJNA729512,SAMN19131462,2080000439,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859446,GSM5292734,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T17:09:00Z,1,GSM5292734,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
SRR14513779,RNA-Seq,75,4402292400,PRJNA729512,SAMN19131461,1934031052,AC7,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10859447,GSM5292735,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-17T00:00:00Z,2021-05-13T16:24:00Z,1,GSM5292735,cancer cell line,SRP319533,RNA-seq,wild type,,,,,
